"Plant ID","Plant Name",Taxonomy,Origin,Material,"Maintained By",Availability
"PI 175092",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 175093",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 175094",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 175095",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 175096",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 175608",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 600937","Royal Gem","Brassica rapa","United States",Seed,NC7,"Add to Cart"
"PI 176876",,"Brassica rapa",Turkey,Seed,NC7,"Not Available"
"PI 176885",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 177286",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 178841",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 179181",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 179182",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 179184",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 179189",,"Brassica rapa",Iraq,Seed,NC7,"Add to Cart"
"PI 179638",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 179641","NU 52002","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 179642",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 179643",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 179646",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 179650",,"Brassica rapa",India,Seed,NC7,"Not Available"
"PI 179652",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 179847",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 179848",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 179849",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 179853",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 179856",,"Brassica rapa",India,Seed,NC7,"Not Available"
"PI 179863",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 180261",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 180262",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 180263",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 180411",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 180412",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 181013",SARSON,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 181024",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 182918",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 182922",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 182923",MIXTURE,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 182924",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 183019",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 183391",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 183394",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 183395",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 183396",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 183438",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 183664",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 183917",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 183918",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 183919",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 183921",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 198061",,"Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 198062",,"Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 198150",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 204683",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 205283",,"Brassica rapa",Turkey,Seed,NC7,"Add to Cart"
"PI 207463","NO. 12627","Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 207464","NO. 12638","Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 207465",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 209020",,"Brassica rapa","Puerto Rico",Seed,NC7,"Add to Cart"
"PI 211582",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 211583",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 211719",,"Brassica rapa",Afghanistan,Seed,NC7,"Not Available"
"PI 212081",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 212083",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 212593",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 215578",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 217514",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 217515",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 217931",SARSON,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 217932",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 217933",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 217936",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 601445",MOSA,"Brassica rapa",Netherlands,Seed,NC7,"Add to Cart"
"PI 219904",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 220774",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 222236",,"Brassica rapa",Iran,Seed,NC7,"Add to Cart"
"PI 223499",SHALGHEM,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 223500",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 223501",SHALGHEM,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 223757",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 223759",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 226505",,"Brassica rapa",Iran,Seed,NC7,"Add to Cart"
"PI 227296",SHELGHAM,"Brassica rapa",Iran,Seed,NC7,"Add to Cart"
"PI 246928",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 250004",,"Brassica rapa",Egypt,Seed,NC7,"Add to Cart"
"PI 250129",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 250132",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 250136",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 250138",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 251235",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 251237",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 251238",SARSON,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 251240",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 251326",,"Brassica rapa",Iran,Seed,NC7,"Add to Cart"
"PI 254358",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 254359",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 254360",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 254540",,"Brassica rapa",Iraq,Seed,NC7,"Add to Cart"
"PI 254541",SARSON,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 254542",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 254543",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 254544",SARSON,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 256054","NO. 1","Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 257229","Ming Hou, Chines White","Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 257230","Ming Hou, Chinese White","Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 257241",,"Brassica rapa",China,Seed,NC7,"Add to Cart"
"PI 262988","MEETPESLAND ROUND","Brassica rapa",Netherlands,Seed,NC7,"Add to Cart"
"PI 263053",,"Brassica rapa",Estonia,Seed,NC7,"Add to Cart"
"PI 263054",,"Brassica rapa","Russian Federation",Seed,NC7,"Add to Cart"
"PI 263055",,"Brassica rapa","Russian Federation",Seed,NC7,"Add to Cart"
"PI 264139",,"Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 267726",,"Brassica rapa",Japan,Seed,NC7,"Add to Cart"
"PI 268366",77-873,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 268367",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 268368",SHALGHAM,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 268369",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 268371",,"Brassica rapa",Afghanistan,Seed,NC7,"Add to Cart"
"PI 269431",SARSON,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 269434",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 269439",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 269441","COL. NO. 450","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 269442",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 269443",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 269444",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 269445",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 269446","COL. NO. 976","Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 269447",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 269450",SARSON,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 269451",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 269452",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 271041",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 271443",SARSON,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 271447",1165,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 271448",1186,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 271449",1294,"Brassica rapa",India,Seed,NC7,"Not Available"
"PI 277404",,"Brassica rapa",Pakistan,Seed,NC7,"Add to Cart"
"PI 278766",ARLO,"Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 286416",,"Brassica rapa",Nepal,Seed,NC7,"Add to Cart"
"PI 288723",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 288728",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 288729",,"Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 296383",,"Brassica rapa",Iran,Seed,NC7,"Not Available"
"PI 303134","EARLY SNOWBALL","Brassica rapa",Netherlands,Seed,NC7,"Add to Cart"
"PI 303135",,"Brassica rapa",Netherlands,Seed,NC7,"Add to Cart"
"PI 303136","PETROWSKI YELLOW","Brassica rapa",Netherlands,"Plant, Seed",NC7,", Add to Cart"
"PI 305274",,"Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 305275","NU 52003","Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 311711","NU 51567","Brassica rapa",Chile,Seed,NC7,"Add to Cart"
"PI 311723","NU 51568","Brassica rapa",Poland,Seed,NC7,"Add to Cart"
"PI 312124","NU 46701","Brassica rapa",Guatemala,Seed,NC7,"Add to Cart"
"PI 312845","NU 51599","Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 312846","NU 51637","Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 312847",,"Brassica rapa",Sweden,Seed,NC7,"Add to Cart"
"PI 312903",77-368,"Brassica rapa",Poland,Seed,NC7,"Add to Cart"
"PI 314137","SZ62-11,0 ERUCIC ACID","Brassica rapa",Canada,Seed,NC7,"Add to Cart"
"PI 319413","BC 15","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 319417","NU 45454","Brassica rapa","United States",Seed,NC7,"Add to Cart"
"PI 319692","BC 7","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 319693","BC 12","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 319694","BC 3","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 323939",,"Brassica rapa","New Zealand",Seed,NC7,"Add to Cart"
"PI 324507",,"Brassica rapa",Brazil,Seed,NC7,"Add to Cart"
"PI 340178","I.B. 385","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340179","I.B. 351","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340180","I.B. 114","Brassica rapa",India,Seed,NC7,"Add to Cart"
"PI 340181","I.B. 248","Brassica rapa",India,Seed,NC7,"Add to Cart"
